Epos Code,Description,RRP,COST,WEBSITE,TRADE,ENGINEER,MERCHANT,STAFF,AMAZON,EBAY,Brand,RowStatus
FRANKE-133.0543.173,Franke Stainless Steel E-knob - 133.0543.173,103.13,68.75,97.97,87.66,97.97,76.73,75.63,99.69,99.69,Franke,
FRANKE-133.0543.174,Franke Lollipop Mixer Lever - Stainless Steel - 133.0543.174,81.25,54.17,77.19,69.06,77.19,60.68,59.58,78.54,78.54,Franke,
FRANKE-133.0543.175,Franke E-knob cable - 133.0543.175,15.00,10.00,14.25,12.75,14.25,12.10,11.00,14.50,14.50,Franke,
FRANKE-133.0544.482,Franke Flexible Hose Connector - 133.0544.482,12.73,8.48,12.09,10.82,12.09,10.43,9.33,12.30,12.30,Franke,
FRANKE-133.0544.484,Franke Non Return Valve - 133.0544.484,16.73,11.15,15.89,14.22,15.89,13.37,12.27,16.17,16.17,Franke,
FRANKE-133.0545.147,Franke Electronic Boiling Handle - Chrome - 133.0545.147,103.13,68.75,97.97,87.66,97.97,76.73,75.63,99.69,99.69,Franke,
FRANKE-133.0545.191,Franke Cartridge Cover : Decor Steel - 133.0545.191,14.49,9.66,13.76,12.31,13.76,11.72,10.62,14.00,14.00,Franke,
FRANKE-133.0545.194,Franke Minerva waste hose (1M) - 133.0545.194,10.00,6.67,11.70,9.95,11.70,8.43,7.33,11.70,11.70,Franke,
FRANKE-133.0545.353,Franke M-Box Grey Bracket - 133.0545.353,21.99,14.66,20.89,18.69,20.89,17.22,16.12,21.25,21.25,Franke,
FRANKE-133.0556.031,Franke Aerator - 133.0556.031,11.34,7.56,12.90,10.97,12.90,9.41,8.31,12.90,12.90,Franke,
FRANKE-133.0560.528,Franke Aerator & Key - 133.0560.528,9.43,6.28,11.18,9.51,11.18,8.01,6.91,11.18,11.18,Franke,
FRANKE-133.0560.529,Franke Spout : Stainless Steel - 133.0560.529,57.93,38.62,55.03,49.24,55.03,43.58,42.48,55.99,55.99,Franke,
FRANKE-133.0560.571,Franke Spout Washer & Screw Set - 133.0560.571,2.83,1.88,5.24,4.46,5.24,3.17,2.07,5.24,5.24,Franke,
FRANKE-133.0560.572,Franke Lever : Stainless Steel - 133.0560.572,30.98,20.65,29.43,26.33,29.43,23.82,22.72,29.94,29.94,Franke,
FRANKE-133.0560.573,Franke Triangular Support Plate - 133.0560.573,2.69,1.79,5.12,4.35,5.12,3.07,1.97,5.12,5.12,Franke,
FRANKE-133.0560.574,Franke Fixing Kit - 133.0560.574,12.88,8.58,12.23,10.94,12.23,10.54,9.44,12.45,12.45,Franke,
FRANKE-133.0560.577,Franke Sprayhead : Stainless Steel - 133.0560.577,38.19,25.46,36.28,32.46,36.28,29.10,28.00,36.91,36.91,Franke,
FRANKE-133.0560.578,Franke Spout : Stainless Steel - 133.0560.578,40.41,26.94,38.39,34.35,38.39,30.74,29.64,39.07,39.07,Franke,
FRANKE-133.0560.579,Franke O-Ring Kit - 133.0560.579,2.69,1.79,5.12,4.35,5.12,3.07,1.97,5.12,5.12,Franke,
FRANKE-133.0560.580,Franke Flexible Hose - 133.0560.580,24.21,16.14,23.00,20.58,23.00,18.86,17.76,23.41,23.41,Franke,
FRANKE-133.0560.581,Franke Non Return Valve - 133.0560.581,4.03,2.68,6.32,5.37,6.32,4.05,2.95,6.32,6.32,Franke,
FRANKE-133.0560.582,Franke O-Ring Kit - 133.0560.582,2.69,1.79,5.12,4.35,5.12,3.07,1.97,5.12,5.12,Franke,
FRANKE-133.0560.590,Franke Aerator - 133.0560.590,87.60,58.40,83.22,74.46,83.22,65.34,64.24,84.68,84.68,Franke,
FRANKE-133.0560.613,Franke Tap Nozzle Guide Sleeve (11) - 133.0560.613,21.75,14.50,20.66,18.49,20.66,17.05,15.95,21.03,21.03,Franke,
FRANKE-133.0566.016,Franke Handle : SILKSTEEL - 133.0566.016,42.99,28.66,40.84,36.54,40.84,32.62,31.52,41.55,41.55,Franke,
FRANKE-133.0566.017,Franke Cartridge Cover : SILKSTEEL - 133.0566.017,18.13,12.08,17.22,15.41,17.22,14.39,13.29,17.52,17.52,Franke,
FRANKE-133.0566.020,Franke Cartridge Locking Ring - 133.0566.020,7.43,4.95,9.38,7.98,9.38,6.55,5.45,9.38,9.38,Franke,
FRANKE-133.0566.022,Franke Cartridge - 133.0566.022,24.91,16.61,23.67,21.18,23.67,19.37,18.27,24.08,24.08,Franke,
FRANKE-133.0566.024,Franke Spout : SILKSTEEL - 133.0566.024,123.08,82.05,116.92,104.61,116.92,91.36,90.26,118.97,118.97,Franke,
FRANKE-133.0566.027,Franke Aerator - 133.0566.027,7.43,4.95,9.38,7.98,9.38,6.55,5.45,9.38,9.38,Franke,
FRANKE-133.0566.028,Franke O - Ring Kit - 133.0566.028,6.05,4.03,8.15,6.92,8.15,5.54,4.44,8.15,8.15,Franke,
FRANKE-133.0566.029,Franke Plinth : SILKSTEEL - 133.0566.029,16.19,10.79,15.38,13.76,15.38,12.97,11.87,15.65,15.65,Franke,
FRANKE-133.0566.030,Franke Fixing Kit - 133.0566.030,14.84,9.89,14.10,12.61,14.10,11.98,10.88,14.34,14.34,Franke,
FRANKE-133.0566.041,Franke Flexible Tails (HOT & COLD) - 133.0566.041,38.55,25.70,36.62,32.77,36.62,29.37,28.27,37.27,37.27,Franke,
FRANKE-133.0566.042,Franke Aerator Key - 133.0566.042,5.56,3.71,7.71,6.55,7.71,5.18,4.08,7.71,7.71,Franke,
FRANKE-133.0566.044,Franke Handle : BLACK - 133.0566.044,42.99,28.66,40.84,36.54,40.84,32.62,31.52,41.55,41.55,Franke,
FRANKE-133.0566.045,Franke Cartridge Cover : BLACK - 133.0566.045,18.13,12.08,17.22,15.41,17.22,14.39,13.29,17.52,17.52,Franke,
FRANKE-133.0566.046,Franke Spout : BLACK - 133.0566.046,123.08,82.05,116.92,104.61,116.92,91.36,90.26,118.97,118.97,Franke,
FRANKE-133.0566.047,Franke Plinth : BLACK - 133.0566.047,16.19,10.79,15.38,13.76,15.38,12.97,11.87,15.65,15.65,Franke,
FRANKE-133.0567.687,Franke Aerator - 133.0567.687,8.08,5.38,9.97,8.47,9.97,7.02,5.92,9.97,9.97,Franke,
FRANKE-133.0567.688,Franke Aerator Key - 133.0567.688,2.69,1.79,5.12,4.35,5.12,3.07,1.97,5.12,5.12,Franke,
FRANKE-133.0567.698,Franke Aerator - 133.0567.698,9.66,6.44,11.40,9.69,11.40,8.19,7.09,11.40,11.40,Franke,
FRANKE-133.0567.700,Franke Cartridge - 133.0567.700,19.19,12.79,18.23,16.31,18.23,15.17,14.07,18.55,18.55,Franke,
FRANKE-133.0567.701,Franke Cartridge Locking Ring - 133.0567.701,5.79,3.86,7.91,6.72,7.91,5.34,4.24,7.91,7.91,Franke,
FRANKE-133.0567.702,Franke Cartridge Cover Washer - 133.0567.702,4.51,3.01,6.76,5.75,6.76,4.41,3.31,6.76,6.76,Franke,
FRANKE-133.0567.703,Franke Cartridge Cover - Stainless Steel - 133.0567.703,5.79,3.86,7.91,6.72,7.91,5.34,4.24,7.91,7.91,Franke,
FRANKE-133.0567.704,Franke Lever Retaining Screw - 133.0567.704,1.41,0.94,3.97,3.38,3.97,2.14,1.04,3.97,3.97,Franke,
FRANKE-133.0569.549,Franke Spout - Stainless Steel - 133.0569.549,123.60,82.40,117.42,105.06,117.42,91.74,90.64,119.48,119.48,Franke,
FRANKE-133.0569.550,Franke O Ring Kit - 133.0569.550,4.19,2.79,6.47,5.50,6.47,4.17,3.07,6.47,6.47,Franke,
FRANKE-133.0569.711,Franke Handle - Stainless Steel - 133.0569.711,46.35,30.90,44.03,39.40,44.03,35.09,33.99,44.81,44.81,Franke,
FRANKE-133.0569.712,Franke Tap Fixing/Assembly Kit - 133.0569.712,6.18,4.12,8.26,7.02,8.26,5.63,4.53,8.26,8.26,Franke,
FRANKE-133.0569.713,Franke Aerator Removal Tool - 133.0569.713,3.73,2.48,6.05,5.14,6.05,3.83,2.73,6.05,6.05,Franke,
FRANKE-133.0569.714,Franke Pullout Nozzle - Stainless Steel - 133.0569.714,60.53,40.35,57.50,51.45,57.50,45.49,44.39,58.51,58.51,Franke,
FRANKE-133.0569.715,Franke Aerator (1.2) - 133.0569.715,4.51,3.01,6.76,5.75,6.76,4.41,3.31,6.76,6.76,Franke,
FRANKE-133.0569.716,Franke Aerator Cover - Stainless Steel (1.3) - 133.0569.716,15.45,10.30,14.68,13.13,14.68,12.43,11.33,14.94,14.94,Franke,
FRANKE-133.0569.717,Franke Spout - Stainless Steel - 133.0569.717,101.70,67.80,96.62,86.45,96.62,75.68,74.58,98.31,98.31,Franke,
FRANKE-133.0569.718,Franke O-Ring Kit (3) - 133.0569.718,1.93,1.28,4.43,3.77,4.43,2.51,1.41,4.43,4.43,Franke,
FRANKE-133.0570.620,Franke Spout : CHROME BLACK HOSE - 133.0570.620,162.24,108.16,154.13,137.90,154.13,120.07,118.97,156.83,156.83,Franke,
FRANKE-133.0570.621,Franke Spout : CHROME GREY HOSE - 133.0570.621,162.24,108.16,154.13,137.90,154.13,120.07,118.97,156.83,156.83,Franke,
FRANKE-133.0570.622,Franke Spout : CHROME WHITE HOSE - 133.0570.622,162.24,108.16,154.13,137.90,154.13,120.07,118.97,156.83,156.83,Franke,
FRANKE-133.0570.624,Franke Spout : CHROME - 133.0570.624,60.89,40.59,57.84,51.75,57.84,45.75,44.65,58.86,58.86,Franke,
FRANKE-133.0570.625,Franke Spout : SILKSTEEL - 133.0570.625,77.88,51.92,73.98,66.19,73.98,58.21,57.11,75.28,75.28,Franke,
FRANKE-133.0570.626,Franke Spout : BRASS - 133.0570.626,96.31,64.21,91.50,81.87,91.50,71.73,70.63,93.10,93.10,Franke,
FRANKE-133.0570.627,Franke Spout : SMOKEY MIRROR - 133.0570.627,87.83,58.55,83.43,74.65,83.43,65.51,64.41,84.90,84.90,Franke,
FRANKE-133.0571.175,Franke Aerator : Chrome - 133.0571.175,19.33,12.88,18.36,16.43,18.36,15.27,14.17,18.68,18.68,Franke,
FRANKE-133.0571.237,Franke Spout : GRAPHITE - 133.0571.237,105.89,70.59,100.59,90.00,100.59,78.75,77.65,102.36,102.36,Franke,
FRANKE-133.0571.238,Franke Antisplash : BRASS - 133.0571.238,9.61,6.41,11.35,9.65,11.35,8.15,7.05,11.35,11.35,Franke,
FRANKE-133.0571.241,Franke Antisplash : SMOKEY MIRROR - 133.0571.241,9.61,6.41,11.35,9.65,11.35,8.15,7.05,11.35,11.35,Franke,
FRANKE-133.0571.242,Franke Antisplash : GRAPHITE - 133.0571.242,11.01,7.34,12.61,10.72,12.61,9.18,8.08,12.61,12.61,Franke,
FRANKE-133.0571.243,Franke Plinth : BRASS - 133.0571.243,26.11,17.41,24.81,22.20,24.81,20.25,19.15,25.24,25.24,Franke,
FRANKE-133.0571.244,Franke Plinth : SMOKEY MIRROR - 133.0571.244,26.11,17.41,24.81,22.20,24.81,20.25,19.15,25.24,25.24,Franke,
FRANKE-133.0571.246,Franke Handle (Hot) : BRASS - 133.0571.246,27.51,18.34,26.14,23.39,26.14,21.28,20.18,26.60,26.60,Franke,
FRANKE-133.0571.247,Franke Handle (Hot) : SMOKEY MIRROR - 133.0571.247,27.51,18.34,26.14,23.39,26.14,21.28,20.18,26.60,26.60,Franke,
